2023-03-08 18:44:25,392  |  INFO  |  >>>>   Sending HTTP GET requests to API endpoint for team profile as of 2022-09-01 ...  
2023-03-08 18:44:47,364  |  INFO  |  >>>>   Requests completed, now processing JSON payload ...  
2023-03-08 18:44:47,365  |  DEBUG  |  >>>>     
2023-03-08 18:44:47,367  |  INFO  |  >>>>   Reading JSON payload into data frame ...  
2023-03-08 18:44:47,368  |  DEBUG  |  >>>>     
2023-03-08 18:44:47,386  |  INFO  |  >>>>   Writing data frame to CSV file ...  
2023-03-08 18:44:47,386  |  DEBUG  |  >>>>     
2023-03-08 18:44:47,390  |  INFO  |    
2023-03-08 18:44:47,407  |  INFO  |  >>>>   Successfully written and loaded "   played.home  played.away  played.total  wins.home  wins.away  wins.total  draws.home  draws.away  draws.total  loses.home  loses.away  loses.total  match_date
0           12           12            24          9          6          15           2           2            4           1           4            5  2023-03-01" file to local target location...  
2023-03-08 18:44:47,408  |  DEBUG  |  >>>>     
2023-03-08 18:44:50,419  |  INFO  |  >>>>   Sending HTTP GET requests to API endpoint for team profile as of 2023-03-08 ...  
2023-03-08 18:44:50,419  |  DEBUG  |  >>>>     
2023-03-08 18:44:50,890  |  INFO  |  >>>>   Requests completed, now processing JSON payload ...  
2023-03-08 18:44:50,890  |  DEBUG  |  >>>>     
2023-03-08 18:44:50,892  |  INFO  |  >>>>   Reading JSON payload into data frame ...  
2023-03-08 18:44:50,893  |  DEBUG  |  >>>>     
2023-03-08 18:44:50,907  |  INFO  |  >>>>   Writing data frame to CSV file ...  
2023-03-08 18:44:50,908  |  DEBUG  |  >>>>     
2023-03-08 18:44:50,913  |  INFO  |    
2023-03-08 18:44:50,924  |  INFO  |  >>>>   Successfully written and loaded "   played.home  played.away  played.total  wins.home  wins.away  wins.total  draws.home  draws.away  draws.total  loses.home  loses.away  loses.total  match_date
0           12           13            25          9          6          15           2           2            4           1           5            6  2023-03-08" file to local target location...  
2023-03-08 18:44:50,925  |  DEBUG  |  >>>>     
